Potential_Buyer,Target,bid,TP,Success,Round
MOUNT SINAI HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,518144792.3,4,No,19
BETH ISRAEL MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,561985199.2,4,No,19
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,552006270.8,4,No,19
LONG ISLAND JEWISH MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,570371563.2,4,No,19
MOUNT SINAI HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",53069098.77,5,No,19
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",56781376.77,5,No,19
NEW YORK DOWNTOWN HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",54264354.87,5,No,19
EASTERN LONG ISLAND HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",61936055.55,5,No,19
NORTH SHORE UNIVERSITY HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59788028.63,5,No,19
STATEN ISLAND UNIVERSITY HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",60208047.63,5,No,19
FLUSHING HOSPITAL MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",54011151.72,5,No,19
LONG ISLAND JEWISH MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",60951835.27,5,No,19
MERCY MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59240121.98,5,No,19
HOSPITAL FOR SPECIAL SURGERY,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",61873560.71,5,No,19
NORTH CENTRAL BRONX HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",63730823.68,5,No,19
BETH ISRAEL MEDICAL CENTER,MOUNT SINAI HOSPITAL,1750462380,5,No,19
NYU HOSPITALS CENTER,MOUNT SINAI HOSPITAL,1593146013,5,No,19
ST BARNABAS HOSPITAL,MOUNT SINAI HOSPITAL,1595736393,5,No,19
LENOX HILL HOSPITAL,NASSAU UNIVERSITY MEDICAL CENTER,226272106,5,No,19
HARLEM HOSPITAL CENTER,ST LUKE'S ROOSEVELT HOSPITAL,993125058.9,5,No,19
SOUTH NASSAU COMMUNITIES HOSPITAL,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,211205894.8,5,No,19
NEW YORK-PRESBYTERIAN HOSPITAL,BETH ISRAEL MEDICAL CENTER,932984260.8,5,No,19
BELLEVUE HOSPITAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,845427745.8,5,No,19
MONTEFIORE MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,1405177083,5,No,19
GLEN COVE HOSPITAL,INTERFAITH MEDICAL CENTER,76193377.78,5,No,19
QUEENS HOSPITAL CENTER,PENINSULA HOSPITAL CENTER,26750646.75,6,No,19
SOUTH NASSAU COMMUNITIES HOSPITAL,NEW YORK DOWNTOWN HOSPITAL,93699529.59,6,No,19
HOSPITAL FOR SPECIAL SURGERY,NEW YORK DOWNTOWN HOSPITAL,88651738.7,6,No,19
METROPOLITAN HOSPITAL CENTER,EASTERN LONG ISLAND HOSPITAL,17852434.59,6,No,19
NYU HOSPITALS CENTER,NORTH SHORE UNIVERSITY HOSPITAL,1515235769,6,No,19
MERCY MEDICAL CENTER,SOUTH NASSAU COMMUNITIES HOSPITAL,580841944.2,6,No,19
NORTH SHORE UNIVERSITY HOSPITAL,NYU HOSPITALS CENTER,1199076906,6,No,19
ST BARNABAS HOSPITAL,NYU HOSPITALS CENTER,1196607654,6,No,19
LINCOLN MEDICAL & MENTAL HEALTH CENTER,QUEENS HOSPITAL CENTER,224031940.8,6,No,19
NEW YORK-PRESBYTERIAN HOSPITAL,QUEENS HOSPITAL CENTER,218739843.4,6,No,19
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,BROOKDALE HOSPITAL MEDICAL CENTER,218837114.6,6,No,19
STATEN ISLAND UNIVERSITY HOSPITAL,BROOKDALE HOSPITAL MEDICAL CENTER,219593332.6,6,No,19
FLUSHING HOSPITAL MEDICAL CENTER,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,29362841.54,6,No,19
LONG ISLAND JEWISH MEDICAL CENTER,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,31834275.67,6,No,19
MONTEFIORE MEDICAL CENTER,FRANKLIN HOSPITAL,78337426.95,6,No,19
ST BARNABAS HOSPITAL,LINCOLN MEDICAL & MENTAL HEALTH CENTER,1354134167,7,No,19
MERCY MEDICAL CENTER,STATEN ISLAND UNIVERSITY HOSPITAL,682995655.4,7,No,19
JAMAICA HOSPITAL MEDICAL CENTER,GLEN COVE HOSPITAL,175293821.8,7,No,19
SOUTH NASSAU COMMUNITIES HOSPITAL,LONG ISLAND JEWISH MEDICAL CENTER,1610454887,7,No,19
HOSPITAL FOR SPECIAL SURGERY,SOUTH NASSAU COMMUNITIES HOSPITAL,801005626.3,7,No,19
LONG ISLAND JEWISH MEDICAL CENTER,BELLEVUE HOSPITAL CENTER,1498293279,7,No,19
MONTEFIORE MEDICAL CENTER,ST BARNABAS HOSPITAL,373506272.9,7,No,19
LINCOLN MEDICAL & MENTAL HEALTH CENTER,ST BARNABAS HOSPITAL,382208162.5,7,No,19
RICHMOND UNIVERSITY MEDICAL CENTER,EASTERN LONG ISLAND HOSPITAL,18153752.15,8,No,19
MONTEFIORE MEDICAL CENTER,EASTERN LONG ISLAND HOSPITAL,18767324.94,8,No,19
METROPOLITAN HOSPITAL CENTER,EASTERN LONG ISLAND HOSPITAL,18388688.89,8,No,19
HOSPITAL FOR SPECIAL SURGERY,BETH ISRAEL MEDICAL CENTER,1183293746,8,No,19
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,NORTH CENTRAL BRONX HOSPITAL,239097075.7,8,No,19
METROPOLITAN HOSPITAL CENTER,EASTERN LONG ISLAND HOSPITAL,19692047.17,9,No,19
JAMAICA HOSPITAL MEDICAL CENTER,STATEN ISLAND UNIVERSITY HOSPITAL,744483572.8,9,No,19
MONTEFIORE MEDICAL CENTER,STATEN ISLAND UNIVERSITY HOSPITAL,810694223.4,9,No,19
KINGS COUNTY HOSPITAL CENTER,STATEN ISLAND UNIVERSITY HOSPITAL,686321105.7,9,No,19
NEW YORK METHODIST HOSPITAL,STATEN ISLAND UNIVERSITY HOSPITAL,802306928.7,9,No,19
RICHMOND UNIVERSITY MEDICAL CENTER,ST CHARLES HOSPITAL,79165338.26,9,No,19
EASTERN LONG ISLAND HOSPITAL,ST CHARLES HOSPITAL,74359727.91,9,No,19
NEW YORK-PRESBYTERIAN HOSPITAL,MERCY MEDICAL CENTER,90334573.48,9,No,19
EASTERN LONG ISLAND HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59378426.14,4,No,20
ELMHURST HOSPITAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",64494890.97,4,No,20
LUTHERAN MEDICAL CENTER,HUNTINGTON HOSPITAL,206401414,4,No,20
"ST FRANCIS HOSPITAL, ROSLYN",NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,507047369.3,4,No,20
ST BARNABAS HOSPITAL,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,511839995.5,4,No,20
NORTH CENTRAL BRONX HOSPITAL,EASTERN LONG ISLAND HOSPITAL,19740729.97,4,No,20
BRONX-LEBANON HOSPITAL CENTER,JACOBI MEDICAL CENTER,242917414.8,4,No,20
NEW YORK-PRESBYTERIAN HOSPITAL,JACOBI MEDICAL CENTER,245271770.9,4,No,20
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,LONG ISLAND COLLEGE HOSPITAL,147245008.7,4,No,20
LINCOLN MEDICAL & MENTAL HEALTH CENTER,"ST FRANCIS HOSPITAL, ROSLYN",487326843,4,No,20
LENOX HILL HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",489977487.6,4,No,20
LONG ISLAND JEWISH MEDICAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",492801388.1,4,No,20
CONEY ISLAND HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",517248807.7,4,No,20
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",503212653.4,4,No,20
NEW YORK DOWNTOWN HOSPITAL,FLUSHING HOSPITAL MEDICAL CENTER,82066994.9,4,No,20
ST JOSEPH HOSPITAL,FLUSHING HOSPITAL MEDICAL CENTER,83174632.15,4,No,20
NYU HOSPITALS CENTER,CONEY ISLAND HOSPITAL,165416798.7,4,No,20
PENINSULA HOSPITAL CENTER,KINGSBROOK JEWISH MEDICAL CENTER,86767756.11,4,No,20
MOUNT SINAI HOSPITAL,KINGSBROOK JEWISH MEDICAL CENTER,89189437.72,4,No,20
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),BROOKDALE HOSPITAL MEDICAL CENTER,408988490.3,4,No,20
STATEN ISLAND UNIVERSITY HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,472873201.7,4,No,20
WINTHROP-UNIVERSITY HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,464002350.8,4,No,20
BETH ISRAEL MEDICAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,407286643.3,4,No,20
HUNTINGTON HOSPITAL,LUTHERAN MEDICAL CENTER,375795095.1,4,No,20
HOSPITAL FOR SPECIAL SURGERY,ST JOSEPH HOSPITAL,44127916.72,4,No,20
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),549426062.5,4,No,20
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",FOREST HILLS HOSPITAL,57791236.59,4,No,20
PECONIC BAY MEDICAL CENTER,FOREST HILLS HOSPITAL,61201556.09,4,No,20
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,FOREST HILLS HOSPITAL,60350499.94,4,No,20
NORTH SHORE UNIVERSITY HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,89708986.69,4,No,20
NEW YORK METHODIST HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,85525918.85,4,No,20
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,563021313.5,4,No,20
MONTEFIORE MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,559169039.7,4,No,20
GLEN COVE HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,557889476.1,4,No,20
MAIMONIDES MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,515024903.7,4,No,20
SOUTH NASSAU COMMUNITIES HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,552921773.8,4,No,20
HARLEM HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,514857420.5,4,No,20
UNIVERSITY HOSPITAL ( STONY BROOK ),WOODHULL MEDICAL AND MENTAL HEALTH CENTER,545955465.2,4,No,20
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,ST BARNABAS HOSPITAL,291049232.4,4,No,20
QUEENS HOSPITAL CENTER,PENINSULA HOSPITAL CENTER,46088001.68,5,No,20
WINTHROP-UNIVERSITY HOSPITAL,HUNTINGTON HOSPITAL,706559592.5,5,No,20
"ST FRANCIS HOSPITAL, ROSLYN",HUNTINGTON HOSPITAL,696284449.5,5,No,20
BELLEVUE HOSPITAL CENTER,NORTH SHORE UNIVERSITY HOSPITAL,1314754494,5,No,20
LENOX HILL HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",487706553.4,5,No,20
MAIMONIDES MEDICAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",458496040.1,5,No,20
PENINSULA HOSPITAL CENTER,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,130018049.9,5,No,20
SOUTHSIDE HOSPITAL,CONEY ISLAND HOSPITAL,127387283.3,5,No,20
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,CONEY ISLAND HOSPITAL,119591724.6,5,No,20
NYU HOSPITALS CENTER,CONEY ISLAND HOSPITAL,122916812.8,5,No,20
MERCY MEDICAL CENTER,SOUTH NASSAU COMMUNITIES HOSPITAL,262717149.4,5,No,20
NEW YORK METHODIST HOSPITAL,METROPOLITAN HOSPITAL CENTER,268361648.5,5,No,20
NORTH SHORE UNIVERSITY HOSPITAL,BELLEVUE HOSPITAL CENTER,418044854.2,5,No,20
LONG ISLAND JEWISH MEDICAL CENTER,BELLEVUE HOSPITAL CENTER,409809034.5,5,No,20
SOUTH NASSAU COMMUNITIES HOSPITAL,BELLEVUE HOSPITAL CENTER,440231193.9,5,No,20
STATEN ISLAND UNIVERSITY HOSPITAL,LONG BEACH MEDICAL CENTER,34122272.67,5,No,20
GLEN COVE HOSPITAL,LONG BEACH MEDICAL CENTER,37255744.92,5,No,20
CONEY ISLAND HOSPITAL,LONG BEACH MEDICAL CENTER,34466852.27,5,No,20
UNIVERSITY HOSPITAL ( STONY BROOK ),LONG BEACH MEDICAL CENTER,34625706.39,5,No,20
NEW YORK-PRESBYTERIAN HOSPITAL,QUEENS HOSPITAL CENTER,363585106.6,5,No,20
HARLEM HOSPITAL CENTER,NEW YORK METHODIST HOSPITAL,425064139,5,No,20
HOSPITAL FOR SPECIAL SURGERY,NEW YORK METHODIST HOSPITAL,408096196.7,5,No,20
MOUNT SINAI HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,519401007.3,5,No,20
NEW YORK DOWNTOWN HOSPITAL,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,28041422.1,5,No,20
NORTH CENTRAL BRONX HOSPITAL,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,29611309.88,5,No,20
LINCOLN MEDICAL & MENTAL HEALTH CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),991195795.8,5,No,20
ELMHURST HOSPITAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),1001689589,5,No,20
KINGS COUNTY HOSPITAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),910884563.7,5,No,20
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NORTH CENTRAL BRONX HOSPITAL,198076879.5,5,No,20
SOUTHSIDE HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,495799559.8,6,No,20
WINTHROP-UNIVERSITY HOSPITAL,HUNTINGTON HOSPITAL,701373301.1,6,No,20
KINGS COUNTY HOSPITAL CENTER,NEW YORK DOWNTOWN HOSPITAL,128023755.3,6,No,20
"ST FRANCIS HOSPITAL, ROSLYN",WINTHROP-UNIVERSITY HOSPITAL,1017763207,6,No,20
LONG ISLAND JEWISH MEDICAL CENTER,WINTHROP-UNIVERSITY HOSPITAL,1002192332,6,No,20
LINCOLN MEDICAL & MENTAL HEALTH CENTER,"ST FRANCIS HOSPITAL, ROSLYN",452445032,6,No,20
GLEN COVE HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",432181786.3,6,No,20
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,146841122.9,6,No,20
LENOX HILL HOSPITAL,KINGS COUNTY HOSPITAL CENTER,572633017.7,6,No,20
HARLEM HOSPITAL CENTER,KINGS COUNTY HOSPITAL CENTER,534918431,6,No,20
MERCY MEDICAL CENTER,KINGS COUNTY HOSPITAL CENTER,599735616.7,6,No,20
MAIMONIDES MEDICAL CENTER,MERCY MEDICAL CENTER,723957314,6,No,20
NYU HOSPITALS CENTER,MERCY MEDICAL CENTER,661478462.7,6,No,20
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,NORTH CENTRAL BRONX HOSPITAL,147672417,6,No,20
UNIVERSITY HOSPITAL ( STONY BROOK ),NORTH CENTRAL BRONX HOSPITAL,127128532.7,6,No,20
STATEN ISLAND UNIVERSITY HOSPITAL,UNIVERSITY HOSPITAL ( STONY BROOK ),850640170.4,6,No,20
NEW YORK-PRESBYTERIAN HOSPITAL,INTERFAITH MEDICAL CENTER,195332999.8,6,No,20
LENOX HILL HOSPITAL,JAMAICA HOSPITAL MEDICAL CENTER,450887685.1,7,No,20
NYU HOSPITALS CENTER,JAMAICA HOSPITAL MEDICAL CENTER,410803450,7,No,20
NEW YORK-PRESBYTERIAN HOSPITAL,SOUTHSIDE HOSPITAL,453251035.4,7,No,20
"ST FRANCIS HOSPITAL, ROSLYN",SOUTHSIDE HOSPITAL,516766686.9,7,No,20
MOUNT SINAI HOSPITAL,NEW YORK DOWNTOWN HOSPITAL,131694565.8,7,No,20
LINCOLN MEDICAL & MENTAL HEALTH CENTER,NEW YORK DOWNTOWN HOSPITAL,129327003.8,7,No,20
HARLEM HOSPITAL CENTER,NEW YORK DOWNTOWN HOSPITAL,136208148.3,7,No,20
MERCY MEDICAL CENTER,NEW YORK DOWNTOWN HOSPITAL,125360737.7,7,No,20
JAMAICA HOSPITAL MEDICAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",427921700.9,7,No,20
MAIMONIDES MEDICAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",416104091.5,7,No,20
LONG ISLAND JEWISH MEDICAL CENTER,MAIMONIDES MEDICAL CENTER,1174934194,7,No,20
NEW YORK DOWNTOWN HOSPITAL,HARLEM HOSPITAL CENTER,140816940.1,7,No,20
KINGS COUNTY HOSPITAL CENTER,MERCY MEDICAL CENTER,734106352.9,7,No,20
GLEN COVE HOSPITAL,ST JOSEPH HOSPITAL,167718319.1,7,No,20
MOUNT SINAI HOSPITAL,JAMAICA HOSPITAL MEDICAL CENTER,489326872.9,8,No,20
LENOX HILL HOSPITAL,JAMAICA HOSPITAL MEDICAL CENTER,482566677.2,8,No,20
SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,PECONIC BAY MEDICAL CENTER,102875743.3,8,No,20
JAMAICA HOSPITAL MEDICAL CENTER,ELMHURST HOSPITAL CENTER,821948368.4,8,No,20
LINCOLN MEDICAL & MENTAL HEALTH CENTER,"ST FRANCIS HOSPITAL, ROSLYN",760475880.3,8,No,20
NYU HOSPITALS CENTER,"ST FRANCIS HOSPITAL, ROSLYN",886614315.7,8,No,20
NEW YORK-PRESBYTERIAN HOSPITAL,NYU HOSPITALS CENTER,1268654460,8,No,20
KINGS COUNTY HOSPITAL CENTER,MERCY MEDICAL CENTER,470977956.9,8,No,20
LINCOLN MEDICAL & MENTAL HEALTH CENTER,MOUNT SINAI HOSPITAL,1992466522,9,No,20
NEW YORK-PRESBYTERIAN HOSPITAL,LENOX HILL HOSPITAL,342490756,9,No,20
KINGS COUNTY HOSPITAL CENTER,LENOX HILL HOSPITAL,401320972.1,9,No,20
ELMHURST HOSPITAL CENTER,STATEN ISLAND UNIVERSITY HOSPITAL,1571119395,9,No,20
MONTEFIORE MEDICAL CENTER,PENINSULA HOSPITAL CENTER,54870369.05,4,No,21
NEW YORK DOWNTOWN HOSPITAL,PENINSULA HOSPITAL CENTER,63149785.91,4,No,21
NORTH CENTRAL BRONX HOSPITAL,PENINSULA HOSPITAL CENTER,56490314.91,4,No,21
PECONIC BAY MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",60619848.12,4,No,21
ELMHURST HOSPITAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",56872124.14,4,No,21
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",54625753.97,4,No,21
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",54688208.72,4,No,21
BRONX-LEBANON HOSPITAL CENTER,LONG ISLAND COLLEGE HOSPITAL,138655670.5,4,No,21
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,LONG ISLAND COLLEGE HOSPITAL,150501245.5,4,No,21
NEW YORK-PRESBYTERIAN HOSPITAL,LONG ISLAND COLLEGE HOSPITAL,133726585,4,No,21
ST BARNABAS HOSPITAL,WINTHROP-UNIVERSITY HOSPITAL,786823656.3,4,No,21
HUNTINGTON HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",519514494.8,4,No,21
NEW YORK METHODIST HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",500978472.1,4,No,21
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",479203170.3,4,No,21
NORTH SHORE UNIVERSITY HOSPITAL,FLUSHING HOSPITAL MEDICAL CENTER,83739614.54,4,No,21
BELLEVUE HOSPITAL CENTER,SOUTH NASSAU COMMUNITIES HOSPITAL,290606529.5,4,No,21
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",KINGSBROOK JEWISH MEDICAL CENTER,93512607.84,4,No,21
ST JOSEPH HOSPITAL,KINGSBROOK JEWISH MEDICAL CENTER,93887904.89,4,No,21
BETH ISRAEL MEDICAL CENTER,BELLEVUE HOSPITAL CENTER,1128726080,4,No,21
HARLEM HOSPITAL CENTER,BELLEVUE HOSPITAL CENTER,1048826370,4,No,21
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,BELLEVUE HOSPITAL CENTER,1127476027,4,No,21
"ST FRANCIS HOSPITAL, ROSLYN",LONG BEACH MEDICAL CENTER,29299054.97,4,No,21
LONG ISLAND JEWISH MEDICAL CENTER,LONG BEACH MEDICAL CENTER,30688957.17,4,No,21
CONEY ISLAND HOSPITAL,BROOKDALE HOSPITAL MEDICAL CENTER,429139770.4,4,No,21
WINTHROP-UNIVERSITY HOSPITAL,NEW YORK METHODIST HOSPITAL,564614801.4,4,No,21
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,NEW YORK METHODIST HOSPITAL,572360297.5,4,No,21
HOSPITAL FOR SPECIAL SURGERY,NEW YORK METHODIST HOSPITAL,566577650.1,4,No,21
MOUNT SINAI HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),505111212.9,4,No,21
LINCOLN MEDICAL & MENTAL HEALTH CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),509151475.7,4,No,21
LENOX HILL HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),530323212.9,4,No,21
STATEN ISLAND UNIVERSITY HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),527286291.8,4,No,21
SOUTH NASSAU COMMUNITIES HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),521564893.7,4,No,21
NYU HOSPITALS CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),548867727.2,4,No,21
PENINSULA HOSPITAL CENTER,FOREST HILLS HOSPITAL,57259307.11,4,No,21
EASTERN LONG ISLAND HOSPITAL,FOREST HILLS HOSPITAL,57469499.48,4,No,21
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,FOREST HILLS HOSPITAL,58435098.07,4,No,21
GLEN COVE HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,90806684.15,4,No,21
MAIMONIDES MEDICAL CENTER,NORTH CENTRAL BRONX HOSPITAL,79628069.6,4,No,21
UNIVERSITY HOSPITAL ( STONY BROOK ),NORTH CENTRAL BRONX HOSPITAL,86370943.61,4,No,21
LUTHERAN MEDICAL CENTER,INTERFAITH MEDICAL CENTER,132158452.6,4,No,21
PECONIC BAY MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",66569480.11,5,No,21
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,171028796.3,5,No,21
UNIVERSITY HOSPITAL ( STONY BROOK ),LINCOLN MEDICAL & MENTAL HEALTH CENTER,382436650.5,5,No,21
MOUNT SINAI HOSPITAL,STATEN ISLAND UNIVERSITY HOSPITAL,505045931,5,No,21
KINGS COUNTY HOSPITAL CENTER,STATEN ISLAND UNIVERSITY HOSPITAL,605457370.1,5,No,21
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,STATEN ISLAND UNIVERSITY HOSPITAL,568493642.5,5,No,21
ELMHURST HOSPITAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",559680740,5,No,21
SOUTH NASSAU COMMUNITIES HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",560098745.7,5,No,21
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,"ST FRANCIS HOSPITAL, ROSLYN",566656007,5,No,21
BRONX-LEBANON HOSPITAL CENTER,CONEY ISLAND HOSPITAL,324949798.8,5,No,21
ST BARNABAS HOSPITAL,CONEY ISLAND HOSPITAL,276601075,5,No,21
LINCOLN MEDICAL & MENTAL HEALTH CENTER,SOUTH NASSAU COMMUNITIES HOSPITAL,302216217.8,5,No,21
HUNTINGTON HOSPITAL,KINGS COUNTY HOSPITAL CENTER,471408156.1,5,No,21
MONTEFIORE MEDICAL CENTER,KINGS COUNTY HOSPITAL CENTER,498509207.5,5,No,21
NEW YORK-PRESBYTERIAN HOSPITAL,KINGS COUNTY HOSPITAL CENTER,477402076.6,5,No,21
NYU HOSPITALS CENTER,KINGS COUNTY HOSPITAL CENTER,463379933.9,5,No,21
HOSPITAL FOR SPECIAL SURGERY,KINGS COUNTY HOSPITAL CENTER,481215881.6,5,No,21
WINTHROP-UNIVERSITY HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,521766039.2,5,No,21
STATEN ISLAND UNIVERSITY HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),464619982.3,5,No,21
"ST FRANCIS HOSPITAL, ROSLYN",UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),442041271.6,5,No,21
LONG ISLAND JEWISH MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),436076823.8,5,No,21
MAIMONIDES MEDICAL CENTER,UNIVERSITY HOSPITAL ( STONY BROOK ),913601339.4,5,No,21
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,156868441.5,5,No,21
NORTH SHORE UNIVERSITY HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,396544835.5,5,No,21
LENOX HILL HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,417510234.2,5,No,21
HARLEM HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,427371838.5,5,No,21
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),ST BARNABAS HOSPITAL,395681586.1,5,No,21
NEW YORK-PRESBYTERIAN HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,623481093.5,6,No,21
LENOX HILL HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,612843864.3,6,No,21
PECONIC BAY MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",318863865,6,No,21
